latitude,longitude,location_type
34.863769,-111.781563,destination charger
39.1866234,-106.8175696,destination charger
33.504236,-111.969247,destination charger
35.262552,-75.569361,destination charger
39.1008925,-84.5141913,destination charger
43.072782,-89.380875,destination charger
33.914827,-84.355804,destination charger
36.6198213,-121.9328597,destination charger
30.410814,-87.683956,destination charger
33.79382,-84.39713,supercharger
33.986765,-118.390162,supercharger
36.555642,-121.924563,destination charger
36.9506523,-121.8769721,destination charger
34.914902,-111.854054,destination charger
32.864472,-96.541511,destination charger
33.182787,-97.100066,destination charger
38.490004,-122.883477,destination charger
32.300906,-90.179556,destination charger
35.65105,-120.741489,destination charger
45.890564,-123.962875,destination charger
28.001879,-82.727794,destination charger
35.683768,-105.938017,destination charger
37.7924958,-122.4100354,destination charger
30.084547,-90.446563,destination charger
25.985319,-81.723936,destination charger
30.3272668,-97.9254155,destination charger
39.28462,-76.613671,destination charger
39.480486,-106.066908,destination charger
37.1100279,-113.5799972,destination charger
44.186915,-72.878125,destination charger
33.8454512,-84.3600387,destination charger
34.1550113,-118.8250613,destination charger
47.903447,-91.849141,destination charger
31.734028,-95.6294049,destination charger
34.0963159,-118.3727563,destination charger
34.091985,-118.377766,destination charger
44.124163,-72.882596,destination charger
33.994759,-117.891493,destination charger
48.340723,-124.662924,destination charger
48.3334791,-124.6593683,destination charger
40.001616,-105.257982,destination charger
30.199071,-93.248782,supercharger
40.726668,-84.071932,supercharger
32.760837,-115.532486,supercharger
32.627837,-85.445105,supercharger
42.203734,-71.833059,supercharger
39.748868,-89.67119,supercharger
30.720702,-86.116677,supercharger
39.497181,-119.800225,destination charger
41.490692,-72.091277,destination charger
46.611568,-112.020013,destination charger
42.352135,-71.068673,destination charger
40.093459,-88.237783,destination charger
35.110373,-106.5677521,destination charger
37.532181,-122.000213,destination charger
42.4665965,-92.319229,destination charger
47.6978563,-116.8086523,destination charger
34.854043,-120.370813,destination charger
45.5123866,-122.6756475,destination charger
35.98178,-83.613345,destination charger
37.0144,-111.6120004,destination charger
42.241166,-83.735175,destination charger
37.6828374,-97.341229,destination charger
33.125037,-117.208168,destination charger
33.835802,-118.349995,destination charger
30.652949,-96.404484,destination charger
30.445186,-84.284643,destination charger
38.554096,-86.620169,destination charger
40.055041,-74.133937,destination charger
35.149329,-120.65135,destination charger
36.8086559,-119.7810627,destination charger
42.838443,-72.565798,supercharger
43.109066,-71.477768,supercharger
34.850835,-114.624329,supercharger
39.877253,-83.063448,supercharger
32.833485,-83.625813,supercharger
43.11007,-71.475065,supercharger
33.8491816,-118.3884078,supercharger
37.60878,-97.33314,supercharger
40.738399,-114.058998,supercharger
30.423892,-91.154637,supercharger
36.60059,-118.061916,supercharger
40.179476,-118.472135,supercharger
40.836301,-115.790859,supercharger
38.017955,-84.420664,supercharger
38.242676,-122.625023,supercharger
26.247609,-98.205917,destination charger
34.439156,-119.704221,destination charger
28.323712,-81.658565,destination charger
33.731905,-111.852904,destination charger
32.694804,-117.166215,destination charger
35.625553,-120.69206,destination charger
39.604825,-106.515487,destination charger
35.149106,-120.653272,destination charger
26.129147,-80.104037,destination charger
35.180091,-120.735481,destination charger
26.193704,-80.170287,destination charger
33.4658094,-117.68938,destination charger
34.050187,-118.460342,destination charger
41.8868446,-88.3038036,destination charger
37.792442,-122.401039,destination charger
37.791596,-122.410385,destination charger
33.831533,-116.545469,destination charger
44.057922,-121.312053,destination charger
37.088866,-113.584524,destination charger
29.681564,-90.782192,destination charger
37.1095483,-113.5765225,destination charger
39.272267,-123.789132,destination charger
38.568215,-86.618299,destination charger
27.711,-97.371231,destination charger
38.883828,-77.030247,destination charger
37.746154,-119.5743357,destination charger
36.9697758,-121.9655326,destination charger
37.792496,-122.39998,destination charger
39.879803,-83.0455049,destination charger
48.990486,-122.774447,destination charger
37.3327794,-121.8892745,destination charger
47.23853,-122.427213,destination charger
40.181715,-122.220555,destination charger
37.854975,-121.2193169,destination charger
25.772724,-80.185998,destination charger
25.819636,-80.12259,destination charger
37.837856,-122.479836,destination charger
37.7849,-122.4043,destination charger
37.14916,-84.11385,supercharger
43.113878,-75.206857,supercharger
33.767198,-118.191987,destination charger
39.186714,-106.819164,destination charger
33.757998,-116.360617,destination charger
30.265397,-97.746566,destination charger
39.19082,-106.819492,destination charger
40.57403,-122.358323,destination charger
36.519392,-121.806781,destination charger
44.136626,-93.254645,destination charger
30.289625,-81.389233,destination charger
42.684621,-121.973069,destination charger
40.961898,-85.373626,destination charger
41.034321,-85.359994,destination charger
44.0248506,-121.3653404,destination charger
42.130914,-72.621435,supercharger
39.040814,-94.369265,supercharger
40.958869,-117.746501,supercharger
30.283018,-97.745736,destination charger
41.491377,-73.22515,destination charger
38.174307,-122.451274,destination charger
35.052297,-83.196938,destination charger
48.783141,-122.484001,destination charger
29.426547,-98.481086,destination charger
35.226765,-100.24836,supercharger
40.684466,-112.269008,supercharger
35.34075,-80.76579,supercharger
30.25196,-97.746725,destination charger
33.735562,-117.030779,destination charger
34.086515,-118.445697,destination charger
33.528602,-84.743971,destination charger
34.343903,-79.431386,destination charger
34.3923251,-119.5095392,destination charger
28.068094,-80.557665,destination charger
30.1516232,-93.6375554,destination charger
36.6391043,-93.2788854,destination charger
36.6008432,-121.8951335,destination charger
37.6817053,-113.0755125,destination charger
47.098792,-119.996204,destination charger
47.708479,-116.794283,supercharger
41.220921,-95.835579,supercharger
35.53859,-98.66012,supercharger
34.420632,-119.702748,destination charger
38.680822,-123.429276,destination charger
41.018094,-73.623659,destination charger
34.178538,-118.8785878,destination charger
42.544777,-83.215811,destination charger
43.179969,-71.8336274,destination charger
38.664182,-78.46637,destination charger
32.776235,-96.809281,destination charger
37.875969,-119.858266,destination charger
30.721805,-81.547885,destination charger
26.715327,-80.035116,destination charger
36.132303,-115.157647,destination charger
45.190225,-123.290702,destination charger
45.24115,-123.069729,destination charger
27.930867,-82.483448,destination charger
38.0435364,-120.2107225,destination charger
33.901253,-118.371181,destination charger
34.502584,-82.648609,destination charger
34.947013,-104.647997,supercharger
34.179106,-97.165632,supercharger
35.646451,-117.812644,supercharger
28.31911,-98.113639,destination charger
34.101297,-83.817654,destination charger
32.83358,-117.143817,destination charger
33.6511516,-117.990526,destination charger
33.100051,-117.285039,destination charger
39.6433049,-106.3882985,destination charger
36.910456,-80.31744,destination charger
35.449297,-120.905887,destination charger
